BF387436.BBS,1. Babylon Sisters- Steely Dan
F65C55CF.BBS,2. Deacon Blues- Steely Dan
339C5EC9.BBS,3. Do It Again- Steely Dan
282AF805.BBS,4. Hey Nineteen- Steely Dan
A717ED8B.BBS,5. Home At Last- Steely Dan
897288E2.BBS,6. Josie- Steely Dan
2846DFC8.BBS,7. Kid Charlemagne- Steely Dan
E3BA62B1.BBS,8. Peg- Steely Dan
D81C290D.BBS,9. Reelin In The Years- Steely Dan
9C8972B6.BBS,10. Rikki Don't Lose That Number- Steely Dan
4ADB7B40.BBS,11. Peg- Steely Dan Copy
4890E582.BBS,12. Kid Charlemagne- Steely Dan Copy
