86D58E39.BBS,1. Metal 1 backbeat
F04E5D3E.BBS,2. Metal 2 backbeat
938E10EB.BBS,3. Metal 3 backbeat
A5EF551B.BBS,4. Metal 4  backbeat
CA383458.BBS,5. Metal 5 backbeat
29B6C8D5.BBS,6. Metal 6 backbeat
1396B627.BBS,7. Metal 7 backbeat
81FFC402.BBS,8. Metal 8 backbeat
207C80A7.BBS,9. Metal 9 backbeat
62E9EA6E.BBS,10. Metal 10 backbeat
6AB343C2.BBS,11. Metal 11 backbeat
DD8CA278.BBS,12. Metal 12 backbeat
1EBAFD5C.BBS,13. Metal 13 backbeat
A5C8EA1D.BBS,14. Metal 14 backbeat
0E0CBCAC.BBS,15. Metal 15 backbeat
11517F90.BBS,16. Metal 16 backbeat
E404224F.BBS,17. Metal 17 syncopated
40499681.BBS,18. Metal 18 syncopated
767D0A2F.BBS,19. Metal 19 syncopated
EFAC342B.BBS,20. Metal 20 syncopated
C3F69D96.BBS,21. Metal 21 syncopated
0BEDD80B.BBS,22. Metal 22 jungle
2C0B639D.BBS,23. Metal 23 jungle
A94928DA.BBS,24. Metal 24 jungle
693221CC.BBS,25. Metal 25 jungle
879BE5AB.BBS,26. Metal 26 blast
23002190.BBS,27. Metal 27 blast
F6D377F7.BBS,28. Metal 28 blast
87B11FA2.BBS,29. Metal 29 blast
04A16BED.BBS,30. Metal 30 blast
1B0ACDEC.BBS,31. Metal 31 blast
AC09A434.BBS,32. Metal 32 blast
B9492A46.BBS,33. Metal 33 blast
BBC361E7.BBS,34. Metal 34 blast
5BB88FE0.BBS,35. Metal 35 blast
C1D6DCBB.BBS,36. Metal 36 blast backward
F72E44E6.BBS,37. Metal 37 blast backward
C706B3EE.BBS,38. Metal 38 blast backward
EA13137F.BBS,39. Metal 39 blast backward
9BFF4DFD.BBS,40. Metal 40 blast backward
036E0B02.BBS,41. Metal 41 blast backward
F8F69CBC.BBS,42. Metal 42 blast backward
15A66A5A.BBS,43. Metal 43 blast backward
99C2ECD7.BBS,44. Metal 44 fast
690FB13E.BBS,45. Metal 45 fast
2469DF82.BBS,46. Metal 46 fast
63A83515.BBS,47. Metal 47 fast
BBA30E23.BBS,48. Metal 48 fast
9269C883.BBS,49. Metal 49 fast
C913E393.BBS,50. Metal 50 fast
A0B782BC.BBS,51. Metal 51 fast syncopated
36661261.BBS,52. Metal 52 fast syncopated
7EB20FF8.BBS,53. Metal 53 fast syncopated
4CE52337.BBS,54. Metal 54 fast syncopated
04D52BF0.BBS,55. Metal 55 fast syncopated
6814FBC0.BBS,56. Metal 56 fast syncopated
F331122C.BBS,57. Metal 57 fast syncopated
970F0E6F.BBS,58. Metal 58 fast syncopated
94DB654D.BBS,59. Metal 59 half x
E99B7CDE.BBS,60. Metal 60 half x
23E5276C.BBS,61. Metal 61 half x
20FCE88D.BBS,62. Metal 62 half x
1ADCA83B.BBS,63. Metal 63 half x
E7F9392F.BBS,64. Metal 64 half x
1F6044B0.BBS,65. Metal 65 half x
F0C3D1EE.BBS,66. Metal 66 half x
11826B82.BBS,67. Metal 67 shuffle
7EA5307A.BBS,68. Metal 68 shuffle
793384F1.BBS,69. Metal 69 shuffle
012851C7.BBS,70. Metal 70 shuffle
48921424.BBS,71. Metal 71 shuffle
E1C96582.BBS,72. Metal 72 shuffle
70BF5BBA.BBS,73. Metal 73 shuffle
8807D54E.BBS,74. Metal 74 shuffle
CB13815A.BBS,75. Metal 75 shuffle
9F9B86F4.BBS,76. Metal 76 half x shuffle
27DC53D8.BBS,77. Metal 77 half x shuffle
B1F30620.BBS,78. Metal 78 half x shuffle
3BB65599.BBS,79. Metal 79 half x shuffle
1EE15BA6.BBS,80. Metal 80 half x shuffle
C5738AE9.BBS,81. Metal 81 half x shuffle
F3F73C44.BBS,82. Metal 82 half x shuffle
A6B94DFA.BBS,83. Metal 83 half x shuffle
DBE146EB.BBS,84. Metal 84 half x shuffle
931F26C0.BBS,85. Metal 85 half x shuffle
FC949F0A.BBS,86. Metal 86 half x shuffle
2FFC32F1.BBS,87. Metal 87 half x shuffle
D3B0F8FA.BBS,88. Metal 88 half x shuffle
9055E70A.BBS,89. Metal 89 6/8
0E43D780.BBS,90. Metal 90 6/8
E2E10B1D.BBS,91. Metal 91 6/8
0EDF7AD3.BBS,92. Metal 92 6/8
1F57B9BC.BBS,93. Metal 93 6/8
7E0920DA.BBS,94. Metal 94 6/8
323B2686.BBS,95. Metal 95 6/8
5727085D.BBS,96. Metal 96 6/8
D9B78E8A.BBS,97. Metal 97 6/8
ABC5AE01.BBS,98. Metal 98 6/8
35E3204A.BBS,99. Metal 99 6/8
