62E5E096.BBS,1. D BoxORain
5C828E72.BBS,2. D Overkill
BECE657C.BBS,3. G MotionSickness
391AA46E.BBS,4. G BlackHoleSun
425B20F6.BBS,5. G Creep
8F3EE6C8.BBS,6. C ProudMary
3C24B5FE.BBS,7. F TooSweet
9E30FC28.BBS,8. Db DontDreamItsOver
36DE65B1.BBS,9. A ModernLove
3800016A.BBS,10. G DancngInThDrk
C04CC5F7.BBS,11. D JstWhtINeeded
4D6D1085.BBS,12. G DockOfTheBay
9B29CE94.BBS,13. Am AdoreYou
0A097B61.BBS,14. G BrownEyedGirl
48606ED7.BBS,15. A ShmAboutRay
5C667A45.BBS,16. Gb StandByMe
E0D82D52.BBS,17. Am InYourEyes
1C55A311.BBS,18. F WantHoldHand
723CC5EC.BBS,19. Bb YngAmerican
69EE0ABE.BBS,20. A InMyLife
BAA5D5B4.BBS,21. E MineForever
F0613452.BBS,22. Em PaintItBlack
D84DCB2B.BBS,23. A PinballWizard
6243DAF3.BBS,24. F EvryBreathTake
BFC4C2D7.BBS,25. A HadSomeHelp
9FE2206D.BBS,26. A Linger
8712AE8B.BBS,27. F#m TightenUp
BBDAEF46.BBS,28. F SomeoneNew
7C50F816.BBS,29. A GreatDivde
851BBB26.BBS,30. D ComfrtblyNumb
4DF77380.BBS,31. Em LittleWing
BA963F93.BBS,32. Ab UntilIFoundU
83577FF6.BBS,33. Db FortunateSon
22E16DF5.BBS,34. F WhenIComeArnd
D9CB7CCC.BBS,35. C RedRedWine
B2EFA9AE.BBS,36. Bb StarSpangledBnnr
B8057BCB.BBS,37. C PumpedUpKix
282B0E03.BBS,38. Em BuddyHolly
F401FC7B.BBS,39. D FridayImInLove
A0CC92DF.BBS,40. C#m InterstateLov
DFD00C01.BBS,41. Bm GetLuckyDaft
85A81EDD.BBS,42. A LightsJourney
F82E1A63.BBS,43. Gm HotelCalifornia
0B53EBE5.BBS,44. D Santeria
0F6E4C84.BBS,45. C HoundDog
8008018F.BBS,46. *******************************
