5ECE447F.BBS,1. Shuffle 1
A26838D8.BBS,2. Shuffle 2
CD20EA4B.BBS,3. Shuffle 3
980371AA.BBS,4. Shuffle 4 (triplet motion)
2655C4BE.BBS,5. Shuffle 5
DC957B47.BBS,6. Shuffle 6
4FDCE97E.BBS,7. Shuffle 7
2A1EF177.BBS,8. Shuffle 8
FB706B54.BBS,9. Shuffle 9
47D8BC35.BBS,10. Shuffle 10
BA94F34B.BBS,11. Shuffle 6/8 Blues 1
ECC03588.BBS,12. Shuffle 6/8 Blues 2
0D637C66.BBS,13. Shuffle 6/8 Blues 3
7FA6A69B.BBS,14. Shuffle 6/8 Blues 4
C7E55C4A.BBS,15. Shuffle Funk
B6214D00.BBS,16. Swung Funk 1
51CFEF02.BBS,17. Swung Funk 1 Perc BONUS
B6AB8D66.BBS,18. Swung Funk 2
CCFB6C49.BBS,19. Swung Funk 2 Perc BONUS
B66247BF.BBS,20. Swung Funk 3
476E3EE7.BBS,21. Swung Funk 4
7D3C6EE9.BBS,22. Swung Funk 5
FBC21AD7.BBS,23. Swung Funk 6
121E96BB.BBS,24. Swung Funk 7
62D76140.BBS,25. Swung Funk 8
340BAEE3.BBS,26. Swung Funk 8 Perc BONUS
D2819D73.BBS,27. Swung Funk 9
FFF1B94E.BBS,28. Swung Funk 9 Perc BONUS
AD228391.BBS,29. Swung Funk 10 syncopated
2F00753F.BBS,30. Swung Funk 11 syncopated
C47C1728.BBS,31. Swung Funk 11 Perc BONUS
F542A5AD.BBS,32. Swung Funk 12 syncopated
673F852C.BBS,33. Swung Funk 13 syncopated
C997BD9D.BBS,34. Swung Funk 14 syncopated
F2EB13D7.BBS,35. Swung Funk 15 syncopated
25E626C5.BBS,36. Swung Funk 15 Perc BONUS
8EE45289.BBS,37. Swung Funk 16 syncopated
A3FE5DCE.BBS,38. Swung Funk 17 syncopated
8D329574.BBS,39. Swung Funk 17 Perc BONUS
F9788A48.BBS,40. Swung Funk 18 syncopated
489D4D32.BBS,41. New Orleans 2nd Line 1
40234BEF.BBS,42. New Orleans 2nd Line 2
46384DC6.BBS,43. New Orleans 2nd Line 3
154A1EFE.BBS,44. New Orleans 2nd Line 4
5149D1C9.BBS,45. Jazz  Swing 1
44CFD12E.BBS,46. Jazz  Swing 2
695C9273.BBS,47. Jazz Swing 3
3E953401.BBS,48. Jazz Swing 4
E2DAA347.BBS,49. Jazz Swing 5
B43668BB.BBS,50. Jazz Swing 6 (kick stomp_ rim on 4)
A8B4320E.BBS,51. Jazz Swing 7 (hats)
8E273ED6.BBS,52. Jazz Swing 8 (rim+toms)
B05BF413.BBS,53. Jazz Swing 9 (3/4)
9619BD0D.BBS,54. Jazz Swing 10 (3/4)
3A2660AB.BBS,55. Jazz Swing 11 (3/4)
F85BD924.BBS,56. Jazz Swing 12 (3/4) hats
F9E44F0E.BBS,57. Jazz Swing 13 (6/4 feel)
1824FFC8.BBS,58. Jazz Swing 14 (6/4 feel)
75775C60.BBS,59. Jazz Bogaloo
F194D89D.BBS,60. Krupa Tom Beat
