7817EDBE.BBS,1. After Midnight- Eric Clapton
BCBF875E.BBS,2. Bad Love- Eric Clapton
FE889B0D.BBS,3. Badge- Eric Clapton
528E7E8D.BBS,4. Change The World- Eric Clapton
1DEB613D.BBS,5. Cocaine- Eric Clapton
4AAE5891.BBS,6. Crossroads- Eric Clapton
04C77869.BBS,7. I Can't Stand It- Eric Clapton
13DC3B20.BBS,8. I Looked Away- Eric Clapton
52590A6A.BBS,9. I Shot The Sheriff- Eric Clapton
9DDD5EBD.BBS,10. Layla- Eric Clapton
4809C631.BBS,11. Lay Down Sally- Eric Clapton
27A5B562.BBS,12. Pretending- Eric Clapton
8DC7FFF0.BBS,13. Sunshine Of Your Love- Eric Clapton
EDD8E8EF.BBS,14. Tears In Heaven- Eric Clapton
591A427D.BBS,15. White Room- Eric Clapton
6AAEF97C.BBS,16. Wonderful Tonight- Eric Clapton
