A0DB721B.BBS,1. Already Gone- The Eagles
2AB929E2.BBS,2. Best Of My Love- The Eagles
F852163F.BBS,3. Desperado- Eagles
4D84A397.BBS,4. Heartache Tonight- The Eagles
BB338F03.BBS,5. Hotel California- The Eagles
754A22D6.BBS,6. Life In The Fast Lane- The Eagles
32DCACBE.BBS,7. Lying Eyes- The Eagles
A0C7E380.BBS,8. New Kid In Town- The Eagles
B3290A66.BBS,9. One Of These Nights- The Eagles
A0B7BEDF.BBS,10. Peaceful Easy Feeling- The Eagles
D3667497.BBS,11. Take it Easy- The Eagles
E125BC56.BBS,12. Take It To The Limit- The Eagles
5FF4B274.BBS,13. Tequila Sunrise- The Eagles
DEB4327B.BBS,14. The Long Run- The Eagles
818CB1AE.BBS,15. Wasted Time- The Eagles
