BD4AECBE.BBS,1. A Kind Of Magic- Queen
8428B5C9.BBS,2. Another One Bites The Dust- Queen
906B95A4.BBS,3. Bohemian Rhapsody- Queen
45BADA19.BBS,4. Crazy Little Thing Called Love- Queen
25488E7B.BBS,5. Don't Stop Me Now- Queen
1A58C7FB.BBS,6. I Want It All- Queen
A0CA122D.BBS,7. I Want To Break Free- Queen
D48DD742.BBS,8. One Vision- Queen
3FBC187F.BBS,9. Radio Gaga- Queen
2A237996.BBS,10. Somebody To Love- Queen
F3C52788.BBS,11. The Show Must Go On- Queen
FE332DCB.BBS,12. Under Pressure- Queen
A9F909FD.BBS,13. We Are Champions- Queen
8DCFA195.BBS,14. We Will Rock You- Queen
1EA518DD.BBS,15. You're My Best Friend- Queen
1967692E.BBS,16. Crazy Little Thing Called Love- Queen Copy
