93185144.BBS,1. Angie
F902838B.BBS,2. Everybody needs somebody to love
CCF28C26.BBS,3. Honky Tonk Woman- The Rolling Stones
8748862D.BBS,4. It's All Over Now
A48E9C37.BBS,5. Jumpin Jack Flash
0DD15C7D.BBS,6. Miss You
3BE8EACB.BBS,7. Mixed Emotions
82CDB02E.BBS,8. Paint It Black
D9BD97D8.BBS,9. Ruby Tuesday
BFFE88D6.BBS,10. Satisfaction
C05190D6.BBS,11. Start Me Up
7F9FF225.BBS,12. Sympathy For The Devil
3BBAB4A5.BBS,13. Time Is On My Side
40B60359.BBS,14. Wild Horses
CD5DE0B3.BBS,15. You Can't Always Get What You Want
