A8080A36.BBS,1. Wild World - Cat Stevens - brushes
89A30802.BBS,2. Heart Of Gold- Neil Young Copy
D48EE356.BBS,3. Faith - George Michael
8260C29C.BBS,4. You Are the Best Thing - Ray LaMontagne
9ED9087F.BBS,5. Have You Ever Seen the Rain by Creedence Clearwater Revival
F4B5C30B.BBS,6. Hey Ya - Outkast
F7693597.BBS,7. New Slang - The Shins
1E14EB61.BBS,8. Traveller - Chris Stapleton
050E30B0.BBS,9. Crazy Little Thing Called Love- Queen (Simplified)
066AE3F7.BBS,10. Mushaboom - Feist
19D43950.BBS,11. ------- instrument change ---- Copy
