2806E240.BBS,1. Box of Rain - Grateful Dead
918B0244.BBS,2. Overkill by Men at Work
D75031EC.BBS,3. Motion Sickness by Phoebe Bridgers
36D25C78.BBS,4. ! Black Hole Sun- Soundgarden (complex)
59291F8D.BBS,5. Creep- Radiohead Copy
B4F89133.BBS,6. Proud Mary- CCR Copy
5C2F4457.BBS,7. Too Sweet by Hozier
ADA8002F.BBS,8. Don't Dream It's Over - Crowded House
3D8158DC.BBS,9. Modern Love - David Bowie
D58A2761.BBS,10. Dancing in the Dark - Bruce Springsteen
4C81C1FC.BBS,11. Just What I Needed (The Cars)
54F77F7B.BBS,12. Sittin on the Dock of the Bay - Otis Redding
56EDE601.BBS,13. Adore You by Harry Styles
C72CF5E8.BBS,14. Brown Eyed Girl- Van Morrison Copy
36F9165B.BBS,15. It's a Shame About Ray - Lemonheads
95DC3739.BBS,16. Stand By Me- Ben E King Copy
369592A7.BBS,17. Young Americans - David Bowie
9E74FB94.BBS,18. In Your Eyes by Peter Gabriel
62DEDFAC.BBS,19. I Want To Hold Your Hand- The Beatles Copy
30BC53CE.BBS,20. In My Life - The Beatles
B8D90287.BBS,21. Mine Forever by Lord Huron
73B19245.BBS,22. Save Me - Aimee Mann
87850D06.BBS,23. Paint It Black Copy
05E05CF9.BBS,24. Pinball Wizard by The Who
0525B860.BBS,25. Every Breath You Take- The Police Copy
976A137C.BBS,26. ------- instrument change ----
