61D5D29B.BBS,1. 4/4 kick halfs
44157757.BBS,2. 4/4 kick qtrs
D37A8570.BBS,3. 2/4 kick halfs
B598C6D8.BBS,4. 2/4 kick qtrs
B9E086EC.BBS,5. 3/4 kick halfs
1C0EA4C1.BBS,6. 3/4 kick qtrs
3E0CF958.BBS,7. 5/4 kick qtrs
BDD0AE5F.BBS,8. 5/4 kick (2-3)
47190013.BBS,9. 5/4 kick (3-2)
3F6BAF52.BBS,10. 6/4 kick qtrs
43EFCBBD.BBS,11. 6/4 kick (4-2)
5724452D.BBS,12. 7/4 kick qtrs
E9259D5E.BBS,13. 7/4 kick (2-2-3)
A09AAE1C.BBS,14. 7/4 kick (3-4)
BAD264DF.BBS,15. 7/4 kick (4-3)
60F15EDF.BBS,16. 9/4 kick (3-2-4)
0664D86D.BBS,17. 9/4 kick (4-3-2)
A6457CCC.BBS,18. 9/4 kick (4-5)
25D5EE12.BBS,19. 9/4 kick (5-4)
F1C90249.BBS,20. 5/8 kick (2-3 acc only)
F24516DF.BBS,21. 5/8 kick (3-2 acc only)
3BF41B5E.BBS,22. 6/8 kick (acc 1)
C41DBDCD.BBS,23. 6/8 kick (3-3 acc only)
48F4D41D.BBS,24. 7/8 kick (2-2-3 acc only)
B08D39F0.BBS,25. 7/8 kick (3-2-2 acc only)
E88DA57C.BBS,26. 9/8 kick (2-2-3 acc only)
35644923.BBS,27. 9/8 kick (3-2-2 acc only)
B9F5010B.BBS,28. 10/8 kick (3-3-4 acc only)
59976AA6.BBS,29. 10/8 kick (4-3-3 acc only)
FBFEAE72.BBS,30. 11/8 kick (2-2-2-2-3 acc only)
7C1C6A3E.BBS,31. 11/8 kick (3-2-2-2-2 acc only)
64EE9388.BBS,32. 11/8 kick (3-3-3-2 acc only)
