FDA365E8.BBS,1. Abakua
F46E006E.BBS,2. Afro-American Funk
3674402B.BBS,3. Afro 6/8
21182264.BBS,4. Bachata
0C73907C.BBS,5. Baiao
5942C0E0.BBS,6. Bembe
0DED0A7E.BBS,7. Bolero
88949996.BBS,8. Bomba 1
E0B893ED.BBS,9. Bomba 2
E299491F.BBS,10. Bossa Nova
85B7C509.BBS,11. Calypso
CFF90E81.BBS,12. Calypso Jazz
BA5ACCE2.BBS,13. Candombe
2F7D14AD.BBS,14. Cha cha cha 1
4A481B8E.BBS,15. Cha cha cha 2
3C9854A8.BBS,16. Chacarela
75736187.BBS,17. Comparsa
CA6470D4.BBS,18. Cumbia
1213EAB7.BBS,19. Danzon
45D4CB67.BBS,20. Festejo 1
5837D83A.BBS,21. Festejo De Ritmo
D7A723A4.BBS,22. Festejo Fuga
4297D1FC.BBS,23. Festejo Quijada
4259D691.BBS,24. Festejo Cowbell
47BAEB14.BBS,25. Forro
AEFBA8C8.BBS,26. Guaguanco
587DB98A.BBS,27. Kompa
BF9EE538.BBS,28. Lando
A30ACF00.BBS,29. Lando Zamacueca
2BFDC2BD.BBS,30. Latin Jazz (2-3)
228ACA1E.BBS,31. Maracatu
EE2B7739.BBS,32. Merengue
9B3A4F01.BBS,33. Mozambique
