514D3408.BBS,1. Adore Him- Kari Jobe
BA2A8E47.BBS,2. Born Is The King- Hillsong Live
555FCCA3.BBS,3. He Has Come For Us- Meredith Andrews
397B41F3.BBS,4. Hope To The World- Dan Macaulay
7E432CE8.BBS,5. Hope Was Born This Night- Sidewalk Prophets
C58BABF0.BBS,6. How Many Kings- Downhere
EEC9CEED.BBS,7. I Heard The Bells On Christmas Day- Casting Crowns
B128BE62.BBS,8. O Come_ O Come Emanuel- David Crowder Band
E3ED6EC5.BBS,9. Silent Night- Casting Crowns
2A51FB4E.BBS,10. The First Noel- David Crowder Band
