01FF89A0.BBS,1. Funk 199 Swung
CC429C15.BBS,2. Funk 200 Swung
D07FC893.BBS,3. Funk 201 Swung
673D16BF.BBS,4. Funk 202 Swung
F825F28E.BBS,5. Funk 203 Swung
0D908402.BBS,6. Funk 204 Swung
3E50F7EE.BBS,7. Funk 205 Swung
C2EAE2CF.BBS,8. Funk 206 Swung
F2401DD2.BBS,9. Funk 207 Swung
8178CA95.BBS,10. Funk 208 Swung
3DFEED7B.BBS,11. Funk 209 Swung
AACD540C.BBS,12. Funk 210 Swung
BE76E0DE.BBS,13. Funk 211 Swung
9A3A339F.BBS,14. Funk 212 Swung
871EA2B3.BBS,15. Funk 213 Swung
D4D9F072.BBS,16. Funk 214 Swung
233CBE45.BBS,17. Funk 215 Swung
5829DFAA.BBS,18. Funk 216 Swung
CF7AA6D2.BBS,19. Funk 217 Swung
7C4EE66C.BBS,20. Funk 218 Swung
6DC340D4.BBS,21. Funk 219 Swung
5AE5BB0B.BBS,22. Funk 220 Swung
1169D090.BBS,23. Funk 221 Swung
9BDB7596.BBS,24. Funk 222 Swung
DEA77E31.BBS,25. Funk 223 Swung
244BC429.BBS,26. Funk 224 Go Go
60E412FB.BBS,27. Funk 225 Go Go
36D24DC7.BBS,28. Funk 226 Chameleon Swung
37BC997A.BBS,29. Funk 227 Chameleon Swung
71868BE7.BBS,30. Funk 228 Chameleon Swung
FC41FD32.BBS,31. Funk 229 Chameleon Swung
7140FC9B.BBS,32. Funk 230 Chameleon Swung
6F697372.BBS,33. Funk 231 Chameleon Swung
83D8A0DB.BBS,34. Funk 232 Chameleon Swung
1AB567DA.BBS,35. Funk 233 Chameleon Swung
1AA1FE0F.BBS,36. Funk 234 Chameleon Swung
C7D38DB0.BBS,37. Funk 235 Chameleon Swung
2B2EC091.BBS,38. Funk 236 Funky Cowbell-str
CD90AF92.BBS,39. Funk 237 Funky Cowbell-str
5AA0F3CD.BBS,40. Funk 238 Funky Cowbell-str
CF86C1BF.BBS,41. Funk 239 Funky Cowbell-swg
79055B9B.BBS,42. Funk 240 Funky Cowbell-swg
04C95E49.BBS,43. Funk 241 Funky Cowbell-swg
