4A27412B.BBS,1. Cajon1-Bossa Nova
9BA5602B.BBS,2. Cajon2- Pop Rock basic
2418B184.BBS,3. Cajon3- 1/2 time Rock
5E98C816.BBS,4. Cajon4- 16ths Pop feel
6633E6EB.BBS,5. Cajon5- Reggae straight basic
B594253E.BBS,6. Cajon6- Reggae swung basic
4808B20B.BBS,7. Cajon7- Shuffle basic
A5037E15.BBS,8. Cajon8- Shuffle Funk
0D26525C.BBS,9. Cajon9- 6/8 simple
52D96DE8.BBS,10. Cajon10- 7-8 simple
04D9F452.BBS,11. Cajon11- swing no fills
D7594A1E.BBS,12. Cajon12- Rockabilly train straight
58F1A2FA.BBS,13. Cajon14- Rockabilly swung train
8B1138A8.BBS,14. Cajon14- Waltz simple
