96B49B78.BBS,1. Black Hole Sun- Soundgarden
3D945F89.BBS,2. Blow Up The Outside World- Soundgarden
B75DC3B7.BBS,3. Burden In My Hand- Soundgarden
CA950975.BBS,4. Fell On Black Days- Soundgarden
2EC95F4E.BBS,5. Jesus Christ Pose- Soundgarden
25B67A65.BBS,6. Outshined- Soundgarden
25B14888.BBS,7. Pretty Noose- Soundgarden
3F86D43F.BBS,8. Rusty Cage part 1- Soundgarden
4AA35337.BBS,9. Rusty Cage part 2- Soundgarden
C8A545EA.BBS,10. Spoonman- Soundgarden
B5EF495F.BBS,11. The Day I Tried To Live- Soundgarden
