0BBD1571.BBS,1. Jazz 1-just ride
4E7FFA09.BBS,2. Jazz 2-snare-4 bars
1C7A3E69.BBS,3. Jazz 3-snare-4 bars
9ADC93CC.BBS,4. Jazz 4-snare-4 bars
13AD4CF0.BBS,5. Jazz 5-snare-4 bars
BB1EEDE1.BBS,6. Jazz 6-snare-4 bars
27E342EF.BBS,7. Jazz 7-snare-4 bars
653994A5.BBS,8. Jazz 8-snare-4 bars
F2189D4C.BBS,9. Jazz 9-snare-4 bars
92C5E273.BBS,10. Jazz 10-snare-4 bars
9C2E2E35.BBS,11. Jazz 11-snare-4 bars
FC2A8390.BBS,12. Jazz 12-snare-4 bars
5300EF7D.BBS,13. Jazz 13-snare-4 bars
3424C499.BBS,14. Jazz 14-snare-4 bars
24DD4C50.BBS,15. Jazz 15-snare-4 bars
80F80039.BBS,16. Jazz 16-snare-4 bars
D2C92FEB.BBS,17. Jazz 17-snare-4 bars
8B1D52C8.BBS,18. Jazz 18-snare-4 bars
CC10F214.BBS,19. Jazz 19-snare-4 bars
982DFE83.BBS,20. Jazz 20-snare-4 bars
D7230422.BBS,21. Jazz 21-snare-4 bars
144EC7D2.BBS,22. Jazz 22-snare-4 bars
E88A60A1.BBS,23. Jazz 23-snare-4 bars
56DD9CB3.BBS,24. Jazz 24-snare-4 bars
D0098060.BBS,25. Jazz 25-snare-4 bars
93E8EEC9.BBS,26. Jazz 26-snare-4 bars
DDDD3365.BBS,27. Jazz 27-snare-4 bars
19587E57.BBS,28. Jazz 28-kick-4 bars
BB331D56.BBS,29. Jazz 29-kick-4 bars
69588308.BBS,30. Jazz 30-kick-4 bars
1739D9BD.BBS,31. Jazz 31-kick-4 bars
E6848EBC.BBS,32. Jazz 32-snare+kick-4 bars
335254CF.BBS,33. Jazz 33-snare+kick-4 bars
BF8B8FAF.BBS,34. Jazz 34-snare+kick-4 bars
6CDC7B92.BBS,35. Jazz 35-snare+kick-4 bars
BC593E1E.BBS,36. Jazz 36-snare+kick-4 bars
ADD8CCC5.BBS,37. Jazz 37-snare+kick-4 bars
93E22B87.BBS,38. Jazz 38-snare+kick-4 bars
9BCD79AD.BBS,39. Jazz 39-snare+kick-4 bars
7FA97122.BBS,40. Jazz 40-snare+kick-4 bars
75B370B1.BBS,41. Jazz 41-snare+kick-4 bars
41B962BB.BBS,42. Jazz 42-snare+kick-4 bars
BB8054BE.BBS,43. Jazz 43-snare+kick-4 bars
E55139C8.BBS,44. Jazz 44-snare+kick-4 bars
CF1703F1.BBS,45. Jazz 45-snare+kick-4 bars
11C2419A.BBS,46. Jazz 46-snare+kick-4 bars
49EE6EE1.BBS,47. Jazz 47-snare+kick-4 bars
2D2EDACC.BBS,48. Jazz 48-snare+kick-4 bars
7AA407E2.BBS,49. Jazz 49-snare+kick-4 bars
EB0A748B.BBS,50. Jazz 50-snare+kick-4 bars
07CF38D7.BBS,51. Jazz 51-snare+kick-4 bars
F43D4DD1.BBS,52. Jazz 52-snare+kick-4 bars
6D3B5B27.BBS,53. Jazz 53-snare+kick-4 bars
F042FD33.BBS,54. Jazz 54-snare+kick-4 bars
BBE9B360.BBS,55. Jazz 55-snare+kick-4 bars
FD74375A.BBS,56. Jazz 55-swing groove
BA02240F.BBS,57. Jazz 57-swing groove
E94E6E5E.BBS,58. Jazz 58-swing groove
14D60F90.BBS,59. Jazz 59-swing groove
A252A78F.BBS,60. Jazz 60-swing groove
FA9C0A0B.BBS,61. Jazz 61-swing groove
78AAA37D.BBS,62. Jazz 62-swing groove
A51D2C3D.BBS,63. Jazz 63-swing groove
806BACD0.BBS,64. Jazz 64-swing groove
A535C1E9.BBS,65. Jazz 65-swing groove
F99244DC.BBS,66. Jazz 66-swing groove
9793C3B2.BBS,67. Jazz 67-swing groove
30183E81.BBS,68. Jazz 68-swing groove
8513859E.BBS,69. Jazz 69-swing groove
FCCB33FD.BBS,70. Jazz 70-swing groove
B8701939.BBS,71. Jazz 71-swing groove- "Poinciana" v1
51BD5A94.BBS,72. Jazz 72-swing groove-"Poinciana" v2
6D138012.BBS,73. Jazz 73-16 bars
945B3ECB.BBS,74. Jazz 74-16 bars
A9B5DFA8.BBS,75. Jazz 75-16 bars
4EBC82A5.BBS,76. Jazz 76-16 bars
824F2F56.BBS,77. Jazz 77-16 bars
9F50F24D.BBS,78. Jazz 78-16 bars
713C3610.BBS,79. Jazz 79-16 bars
CA231CF0.BBS,80. Jazz 80-16 bars
577BC955.BBS,81. Jazz 81-16 bars
A23E9ABB.BBS,82. Jazz 82-16 bars
35695DF1.BBS,83. Jazz 83-16 bars
F6F1E80E.BBS,84. Jazz 84-16 bars
BDE0B418.BBS,85. Jazz 85-16 bars
64BFFD1D.BBS,86. Jazz 86-shuffle
325062F5.BBS,87. Jazz 87-shuffle
3C113D80.BBS,88. Jazz 88-blues
EF1001E6.BBS,89. Jazz 89-blues
