AAC72459.BBS,1. 4/4 click halfs
CB9F7BE7.BBS,2. 4/4 click qtrs
42C95FA3.BBS,3. 4/4 click 8ths
9F052097.BBS,4. 2/4 click halfs
C210C8C5.BBS,5. 2/4 click qtrs
0C9B6FE2.BBS,6. 2/4 click 8ths
61614443.BBS,7. 3/4 click halfs
D5ED232E.BBS,8. 3/4 click qtrs
F762F050.BBS,9. 3/4 click 8ths
FF531B1A.BBS,10. 5/4 click qtrs
B5F120E0.BBS,11. 5/4 click (2-3)
4BE3BFE8.BBS,12. 5/4 click (3-2)
10B73162.BBS,13. 6/4 click qtrs
8879D608.BBS,14. 6/4 click (4-2)
2427162D.BBS,15. 7/4 click qtrs
FED39963.BBS,16. 7/4 click (2-2-3)
4D5F4E11.BBS,17. 7/4 click (3-4)
DF4C2F9C.BBS,18. 7/4 click (4-3)
C27D3B3F.BBS,19. 9/4 click (3-2-4)
9CC2809E.BBS,20. 9/4 click (4-3-2)
7005A2BF.BBS,21. 9/4 click (4-5)
E70194BE.BBS,22. 9/4 click (5-4)
A1ECE4FA.BBS,23. 5/8 click (2-3)
F3820492.BBS,24. 5/8 click (2-3 acc only)
48188313.BBS,25. 5/8 click (3-2)
A14EC5B9.BBS,26. 5/8 click (3-2 acc only)
B4B9BDDE.BBS,27. 6/8 click (acc 1)
85D411C2.BBS,28. 6/8 click (3-3)
AB70D25F.BBS,29. 6/8 click (3-3 acc only)
51926C58.BBS,30. 7/8 click (2-2-3)
78B2EDBB.BBS,31. 7/8 click (2-2-3 acc only)
6E9EA356.BBS,32. 7/8 click (3-2-2)
730D64F5.BBS,33. 7/8 click (3-2-2 acc only)
B442738F.BBS,34. 9/8 click (2-2-2-3)
355186BF.BBS,35. 9/8 click (2-2-2-3 acc only)
BCCB0815.BBS,36. 9/8 click (3-2-2-2)
A8EBBDE7.BBS,37. 9/8 click (3-2-2-2 acc only)
DA945C32.BBS,38. 10/8 click (3-3-4)
150848F6.BBS,39. 10/8 click (3-3-4 acc only)
FA274D6E.BBS,40. 10/8 click (4-3-3)
FE2E7FFC.BBS,41. 10/8 click (4-3-3 acc only)
1134E160.BBS,42. 11/8 click (2-2-2-2-3)
92777443.BBS,43. 11/8 click (2-2-2-2-3 acc only)
379D1E49.BBS,44. 11/8 click (3-2-2-2-2)
A2154D6E.BBS,45. 11/8 click (3-2-2-2-2 acc only)
D4F96C6C.BBS,46. 11/8 click (3-3-3-2)
B79C911A.BBS,47. 11/8 click (3-3-3-2 acc only)
