007EC2CA.BBS,1. World 1-Balkatik
8B05769B.BBS,2. World 2-Pasokrava
6BD1C8F1.BBS,3. World 3-Chupoovca
ABC5F664.BBS,4. World 4-Kozochuvar
B0DA07A3.BBS,5. World 5-Nogoshutach
B1287710.BBS,6. World 6-Krezoseljak
16D88E46.BBS,7. World 7-Brkica
469A130D.BBS,8. World 8-Vukoplash
8DCC236B.BBS,9. World 9-Bumbarmali
0BB42546.BBS,10. World 10-Bumbarveliki
CCBBCEDF.BBS,11. World 11-Muzomlek
C74FF7FE.BBS,12. World 12-Brdotrch
0BC88DF4.BBS,13. World 13-Zavla Chko
61DDA90C.BBS,14. World 14-Svak Odar
57903897.BBS,15. World 15-Kucho Prez
E548F2B2.BBS,16. World 16-Sem A Fore
5CA674DF.BBS,17. World 17-Pogle Davac
DD118842.BBS,18. World 18 6/8-Klizopad
12837D0A.BBS,19. World 19 6/8-Sun Cesneg
FF44CC26.BBS,20. World 20 6/8-Pravizez
CC200E9B.BBS,21. World 21 6/8-Lop Toshut
8A8F8662.BBS,22. World 22 6/8-Serkan
9BAA4B81.BBS,23. World 23 6/8-Skokopad
4CCA889E.BBS,24. World 24 6/8-Podispod
28D76185.BBS,25. World 25 6/8-Sramotko
873739A8.BBS,26. World 26 Swung-Kuk Uruz
2A2575CF.BBS,27. World 27 Swung-Shumoshet
25BA2161.BBS,28. World 28 Swung-Samosed
51C44F56.BBS,29. World 29 Swung-Alideda
4DEF2A49.BBS,30. World 30 Swung-Ashtotako
16BA8A5F.BBS,31. World 31 Swung-Krivogled
52930E9E.BBS,32. World 32 Swung-Ludaglup
88CAFC67.BBS,33. World 33 Swung-Pit Ka
B12D94C1.BBS,34. World 34 Swung-Puto Prech
66047FE9.BBS,35. World 35 Swung-Veliskok
13466C9D.BBS,36. World 36 Swung-Lupetanac
5D301E8D.BBS,37. World 37 Swung-Udarale
0D497C93.BBS,38. World 38 Swung-Plesosmesh
A3E687AC.BBS,39. World 39 Swung-Ov Cable Ji
D8294697.BBS,40. World 40 Swung-Povuch Pogur
7820FD52.BBS,41. World 41 Swung-Kokiceras
D5064933.BBS,42. World 42 6/8 Swung-Spazilo
D71F11DF.BBS,43. World 43 6/8 Swung-Niskopuz
27D3DD13.BBS,44. World 44 6/8 Swung-Tica Leti
97B5D839.BBS,45. World 45 6/8 Swung-Putozbun
64723DC7.BBS,46. World 46 6/8 Swung-Pogre Shivach
6D24F366.BBS,47. World 47 6/8 Swung-Babamraz
3E43D679.BBS,48. World 48 6/8 Swung-Zagutin
6E97CD66.BBS,49. World 49 6/8 Swung-Zelanovac
C7F280C1.BBS,50. World 50- Pa Di Na
4AB463D0.BBS,51. World 51- Virshli Chitza
FE2C9F30.BBS,52. World 52- Kazana
1B1561FF.BBS,53. World 53- Psoto
2D9F2A75.BBS,54. World 54- Psoto
98BD45A5.BBS,55. World 55- Sankobreg
BDEB7B02.BBS,56. World 56- Smogidan
F2F4506D.BBS,57. World 57- Snazilo
7B5D0312.BBS,58. World 58- Alatko
986B48DD.BBS,59. World 59- Krayniko
