8B445B41.BBS,1. An Innocent Man- Billy Joel
2948C1F1.BBS,2. Just The Way You Are- Billy Joel
CBA08AB9.BBS,3. Moving Out- Billy Joel
881477C9.BBS,4. My Life- Billy Joel
1EFAC7D0.BBS,5. New York State Of Mind- Billy Joel
30D8000F.BBS,6. Piano Man- Billy Joel
BD77D924.BBS,7. Scenes From Italian p1 slow- Billy Joel
3569200C.BBS,8. Scenes From Italian p2 fast- Billy Joel
A5283B35.BBS,9. Scenes From Italian p3 slow- Billy Joel
EA0D8E2A.BBS,10. The River of Dreams- Billy Joel
5405E1C0.BBS,11. To Make You Feel My Love- Billy Joel
20A7F8B3.BBS,12. Uptown Girl- Billy Joel
A2E4F7CA.BBS,13. You May Be Right- Billy Joel
