8C6C5D59.BBS,1. Lean on Me by Bill Withers
D4331B02.BBS,2. All I Need Is a Miracle by Mike and the Mechanics
866D1A94.BBS,3. Uptown Girl- Billy Joel Copy
7D216882.BBS,4. Tiny Dancer- Elton John Copy
F3A70FA2.BBS,5. This Old Heart of Mine by The Isley Brothers
3671E810.BBS,6. Changes by David Bowie
D8C02ADE.BBS,7. Head Over Heels by Tears for Fears
5D29D97B.BBS,8. Speed Of Sound- Coldplay Copy
6A7657A7.BBS,9. Isn't She Lovely - Stevie Wonder
97E9F70D.BBS,10. Golden - Harry Styles
4B01C487.BBS,11. Steppin' Out by Joe Jackson
30EF0D1B.BBS,12. Peg by Steely Dan
57586E20.BBS,13. Let It Be- The Beatles Copy
B238B420.BBS,14. Here Comes the Sun by The Beatles
F0FEEA8F.BBS,15. ------- instrument change ---- Copy
