5AF90B0B.BBS,1. 4-4 Cymbal Half Time p1
7D73A7EC.BBS,2. 4-4 Cymbal Half Time p2
35F5494B.BBS,3. 4-4 Cymbal Quarters p1
C236DD20.BBS,4. 4-4 Cymbal Quarters p2
4C84BC62.BBS,5. 4-4 Cymbal Quarters p3
C5C44512.BBS,6. 4-4 Cymbal Quarters p4
BA89719B.BBS,7. 4-4 Cymbal Quarters p5
0CA9CA8A.BBS,8. 4-4 Cymbal 8ths p1
9FE3C953.BBS,9. 4-4 Cymbal 8ths p2
86938B2A.BBS,10. 4-4 Cymbal 8ths p3
515E78C0.BBS,11. 4-4 Cymbal 8ths p4
ACF2B98F.BBS,12. 4-4 Cymbal 8ths p5
9B55B44E.BBS,13. 4-4 Cymbal 16ths p1
C4AE9AE0.BBS,14. 4-4 Cymbal 16ths p2
FAD69695.BBS,15. 3-4 Cymbal Sparse
5AD8C1C8.BBS,16. 3-4 Cymbal Quarters p1
86E7170A.BBS,17. 3-4 Cymbal Quarters p2
57DB3D3D.BBS,18. 3-4 Cymbal 8ths p1
51175FC0.BBS,19. 3-4 Cymbal 8ths p2
5D6C6E4F.BBS,20. 3-4 Cymbal 16ths
AAA3C6AD.BBS,21. 3-4 Cymbal Flamenco
51CE0B27.BBS,22. 5-4 Cymbal Beats p1
091FBD52.BBS,23. 5-4 Cymbal Beats p2
89607057.BBS,24. 5-8 Cymbal Beats p1
2AA5F9CE.BBS,25. 5-8 Cymbal Beats p2
ABBFF4EA.BBS,26. 6-8 Cymbal Beats p1
E82E61CF.BBS,27. 6-8 Cymbal Beats p2
635F426B.BBS,28. 7-8 Cymbal Beats p1
816FDCD1.BBS,29. 7-8 Cymbal Beats p2
7039F082.BBS,30. 9-8 Cymbal Beats p1
23062721.BBS,31. 9-8 Cymbal Beats p2
