15850820.BBS,1. 3/4 Song 39- swung quarters
6CFC625A.BBS,2. 3/4 Song 40- swung eights
99F3997A.BBS,3. 3/4 Song 41- quarters swung
298095B2.BBS,4. 3/4 Song 42- swung quarters
DEDF0CA5.BBS,5. 3/4 Song 43- swung quarters off
3A117526.BBS,6. 3/4 Song 44- swung quarters
75A0ABDA.BBS,7. 3/4 Song 45- swung quarters
490F581B.BBS,8. 3/4 Song 46- swung quarters
D8CDAD19.BBS,9. 3/4 Song 47- swung quarters
0A14127F.BBS,10. 3/4 Song 48- swung quarters
838DA8A0.BBS,11. 3/4 Song 49- swung quarters
23E2045F.BBS,12. 3/4 Song 50- swung quarters
7C34C678.BBS,13. 3/4 Song 51- swung quarters
A4348304.BBS,14. 3/4 Song 52- swung quarters
603AFD16.BBS,15. 3/4 Song 53- swung quarters
69C1619C.BBS,16. 3/4 Song 54- swung quarters
A5074B29.BBS,17. 3/4 Song 55- swung eights
EC0DBAF5.BBS,18. 3/4 Song 56- swung eights off
17D6FFF6.BBS,19. 3/4 Song 57- swung quarters off
48DBE1FD.BBS,20. 3/4 Song 58- swung quarters off
51037D43.BBS,21. 3/4 Song 59- swung quarters
8F513EA6.BBS,22. 3/4 Song 60- swung quarters
A27F673F.BBS,23. 3/4 Song 61- swung eights
54836573.BBS,24. 3/4 Song 62- swung eights
C3C82335.BBS,25. 3/4 Song 63- swung quarters off
2ACE873F.BBS,26. 3/4 Song 64- swung eights off
8E33FA1A.BBS,27. 3/4 Song 65- swung quarters off
44AD3811.BBS,28. 3/4 Song 66- swung eights off
2FC51211.BBS,29. 3/4 Swung Jazz Waltz
C15C7035.BBS,30. 3/4 Beat Elements- straight
2EEB9B03.BBS,31. 3/4 Beat Elements- swung
