D66F32C5.BBS,1. A Hard Day's Night- The Beatles
A4580E42.BBS,2. All You Need Is Love- The Beatles
1B8A9414.BBS,3. And I Love Her- The Beatles
61FD1D05.BBS,4. Can't Buy Me Love- The Beatles
39529D30.BBS,5. Come Together- Beatles
8919E857.BBS,6. Eight Days a Week- The Beatles
1BA0BCAB.BBS,7. Get Back- The Beatles
8E2143CF.BBS,8. Help- The Beatles
F9A3AEC9.BBS,9. Hey Jude- The Beatles
DA9AF89D.BBS,10. I Feel Fine- The Beatles
BCC92D16.BBS,11. I Saw Her Standing There- The Beatles
C51B8410.BBS,12. I Want To Hold Your Hand- The Beatles
0748CD73.BBS,13. Let It Be- The Beatles
EE5F15F0.BBS,14. Love Me Do- The Beatles
C3CADE17.BBS,15. PS I Love You- The Beatles
C45027E9.BBS,16. Please Please Me- The Beatles
53F1C7E9.BBS,17. She Loves You- The Beatles
1CDDC3A6.BBS,18. Strawberry Fields Forever- The Beatles
9E232437.BBS,19. The Long and Winding Road- The Beatles
409291EA.BBS,20. Ticket To Ride- The Beatles
FE80B930.BBS,21. Twist and Shout- The Beatles
1860FC98.BBS,22. We Can Work It Out- The Beatles
D1F53387.BBS,23. Yellow Submarine- The Beatles
97FA1E36.BBS,24. Yesterday- The Beatles
