3BAB212B.BBS,1. Afoxe (perc)
952EB20A.BBS,2. Baiao (perc)
B89D9A2B.BBS,3. Bossa Nova (perc)
64B37B4E.BBS,4. Capoeria (perc)
12798090.BBS,5. Ciranda (perc)
04600FBF.BBS,6. Coco (perc)
DB63E858.BBS,7. Frevo (perc)
9D117174.BBS,8. Maracatu (perc)
E3D096C9.BBS,9. Maracatu Slow (perc)
EA943E37.BBS,10. Reco Reco (perc)
8A037E1F.BBS,11. Samba Batukada (perc)
E66FAF3C.BBS,12. Samba De Roda (perc)
712F8999.BBS,13. Samba Pagode (perc)
3FD3F8A9.BBS,14. Samba- pandeiro groove
B0F43D01.BBS,15. Samba Partido Alto (perc)
05973AF8.BBS,16. Samba Reggae (perc)
4C04A479.BBS,17. Samba Rock (perc)
4C2020E4.BBS,18. Samba Teleco Teco (perc)
0E1EE345.BBS,19. Sertanejo Universitario (perc)
97E9D7AE.BBS,20. Xote (perc)
