1D9D1870.BBS,1. Adventure Of a Lifetime- Coldplay
5ECB2E81.BBS,2. Clocks- Coldplay
94B12126.BBS,3. Don't Panic- Coldplay
5540A4E7.BBS,4. Fix You- Coldplay
C89416F0.BBS,5. God Put A Smile On Your Face- Coldplay
58F04E05.BBS,6. In My Place- Coldplay
E67CEF42.BBS,7. Paradise- Coldplay
863F0926.BBS,8. Speed Of Sound- Coldplay
C3B8D45A.BBS,9. Talk- Coldplay
EA479A05.BBS,10. The Scientist- Coldplay
94EF04FA.BBS,11. Trouble- Coldplay
CEF8E4D6.BBS,12. What If- Coldplay
68C85995.BBS,13. X & Y- Coldplay
0E5C3873.BBS,14. Yellow- Coldplay
