149E1CAF,1. GigSalad - electric guitar
106DC7CA,2. Gig Salad - piano
6772D69A,3. GigSalad - acoustic guitar
EC877E17,4. Ballad-mini
FF762429,5. Blues
25A47079,6. Brazilian
74C27CB4,7. Brushes Beats
016BE44C,8. Country
54789EE8,9. Drum & Bass
BBDE547B,10. Funk
233D0F16,11. Hand Percussion BB Mini
6D48849C,12. Hip Hop
6517B829,13. Jazz
4355964C,14. Latin
8B7BFA73,15. Marching
7A79ACE0,16. Metal
D0E8535C,17. Odd Time
2E0643D7,18. Oldies
383E4939,19. Pop
2BC17499,20. Punk
408612C2,21. R&B
530E2924,22. Rock
61348466,23. Reggae
CA48F364,24. Techno
92358B4B,25. Voice-Beatbox
82A09AA4,26. World
6ABC26ED,27. Autopilot Samples
7A7BE87C,28. David's Beats
95F97618,29. Test Beats
8E3E578A,30. Find more at singularsound.com/beat-boutique
6FE02C08,31. Groovy Metronome-click+shaker
40B787FA,32. Groovy Metronome-kick+hats
E1EE3150,33. Jazz Drums p2
4E0395FE,34. Latin Caribbean Drumset Rhythms
6658048B,35. Chill Beats p2 (swung)
57446AD9,36. Funk Drums p3
BA1AAD76,37. Brazilian Percussion Rhythms
1D37979E,38. Chill Beats p1 (straight)
4212F4D8,39. Funk Drums p1
E457A921,40. Funk Drums p2
6F08CAE9,41. Jazz Drums p1
B1491F7A,42. Christmas Songs In Chris Tomlin Style
50BC2C9C,43. Christmas Songs In Various Artists' Styles
E48B8831,44. Santana Style
A77ECEF9,45. Cymbal Beats
F4D43953,46. Creedence Clearwater Revival Style
7FC5AAF9,47. Fleetwood Mac Style
F65E089C,48. Jimi Hendrix Style
A5704249,49. Led Zeppelin Style
B68ACBAB,50. Dire Straits Style
B86FBF5E,51. Elton John Style
D56993B3,52. Michael Jackson Style
02B8092D,53. Steely Dan Style
94AD334C,54. Stevie Ray Vaughan Style
396D3D64,55. Stevie Wonder Style
AA1B91BA,56. Beats In 3/4-swung
27944D27,57. Metal Drums p2
3EB0C3E4,58. John Mayer Style
6296C205,59. Pearl Jam Style
BAB27E05,60. Popular Covers 5
AB8688ED,61. Popular Covers 6
4DCCD640,62. Ballad Beats
64A25C08,63. Beats In 3/4-straight
E10733B8,64. Coldplay Style
4D4208A6,65. Black Sabbath Style
8F56AA98,66. Metallica Style
F02C760E,67. Popular Covers 11
5F590A6B,68. Soundgarden Style
BCACD176,69. 3-3-2 Rhythms
94951269,70. 3-3-2 Rhythms Swung
13CCD055,71. Metal Drums p1
273FDD74,72. Chicago Style
2D43D615,73. Sting Style
A482CAD7,74. Mallet Beats
70420628,75. World Percussion Fusion
F35FBAD3,76. AC/DC Style
5DF9F16D,77. Cajon Essentials
F749D9D4,78. Tom Petty Style
0059A3ED,79. Nirvana Style
319A9A12,80. Popular Covers 3
0D46E5F4,81. Popular Covers 4
55E114C7,82. Popular Covers 7
151DC3AE,83. Swung & Shuffle Beats
902B5274,84. Billy Joel Style
1616EDAC,85. Eric Clapton Style
89742AA3,86. Popular Covers 10
696D4AA6,87. Odd Time (1)
3B16F9A1,88. Guns N Roses Style
DFF83235,89. Neil Young Style
D6827569,90. Pink Floyd Style
7A269E0B,91. Prince Style
1A5CAF76,92. Queen Style
8F987C21,93. World Percussion
0B115D63,94. Popular Covers 1
EBAD843A,95. Popular Covers 9
B860B0A2,96. Flamenco vol.1
26AEDD40,97. Popular Covers 8
D0021035,98. Popular Covers 2
AE586E9A,99. The Beatles Style
C184BF99,100. The Doors Style
490EAF29,101. The Police Style
1D83BDF7,102. The Rolling Stones Style
195C62EA,103. The Eagles Style
